Project,Project-URL,Filename,License,Attribution,Image-URI,MIME type,Event
Verbreitung von Familiennamen,https://codingdavinci.de/de/projekte/verbreitung-von-familiennamen,familiennamen_0.png,,,/sites/default/files/2019-07/familiennamen_0.png,image/png,Nord 2016
Visiting Landmarks,https://codingdavinci.de/de/projekte/visiting-landmarks,VisitingLandmarks.jpg,,,/sites/default/files/2019-07/VisitingLandmarks.jpg,image/jpeg,Nord 2016
Zeitblick,https://codingdavinci.de/de/projekte/zeitblick,Zeitblick_App_Launchscreen.png,,,/sites/default/files/2019-07/Zeitblick_App_Launchscreen.png,image/png,Nord 2016
Altpapier,https://codingdavinci.de/de/projekte/altpapier,altpapier.png,,,/sites/default/files/2019-07/altpapier.png,image/png,Berlin 2017
Berliner Schlagzeilen,https://codingdavinci.de/de/projekte/berliner-schlagzeilen,ber_schlagzeilen.png,,,/sites/default/files/2019-07/ber_schlagzeilen.png,image/png,Berlin 2017
Bertuchs Bilderspiel,https://codingdavinci.de/de/projekte/bertuchs-bilderspiel,bertuchs_bilderspiel.png,,,/sites/default/files/2019-07/bertuchs_bilderspiel.png,image/png,Berlin 2017
BOMBUS,https://codingdavinci.de/de/projekte/bombus,bombus.jpg,,,/sites/default/files/2019-07/bombus.jpg,image/jpeg,Berlin 2017
Deep Ochsenkopf,https://codingdavinci.de/de/projekte/deep-ochsenkopf,deep_ochsenkopf.jpg,,,/sites/default/files/2019-07/deep_ochsenkopf.jpg,image/jpeg,Berlin 2017
Historisches Fahrkarten-Memory,https://codingdavinci.de/de/projekte/historisches-fahrkarten-memory,fahrkarten_memory.jpg,,,/sites/default/files/2019-07/fahrkarten_memory.jpg,image/jpeg,Berlin 2017
Free Bugs,https://codingdavinci.de/de/projekte/free-bugs,freebugs.jpg,,,/sites/default/files/2019-07/freebugs.jpg,image/jpeg,Berlin 2017
FRITZ reist um die Welt,https://codingdavinci.de/de/projekte/fritz-reist-um-die-welt,fritz.png,,,/sites/default/files/2019-07/fritz.png,image/png,Berlin 2017
Haxorpoda Collective,https://codingdavinci.de/de/projekte/haxorpoda-collective,haxorpoda.jpg,,,/sites/default/files/2019-07/haxorpoda.jpg,image/jpeg,Berlin 2017
Exploring The Hidden Kosmos,https://codingdavinci.de/de/projekte/exploring-hidden-kosmos,hidden_kosmos.jpg,,,/sites/default/files/2019-07/hidden_kosmos.jpg,image/jpeg,Berlin 2017
Marbles of Remembrance (Murmeln der Erinnerung),https://codingdavinci.de/de/projekte/marbles-remembrance-murmeln-der-erinnerung,marbles.png,,,/sites/default/files/2019-07/marbles.png,image/png,Berlin 2017
Berliner MauAR,https://codingdavinci.de/de/projekte/berliner-mauar,mauar.png,,,/sites/default/files/2019-07/mauar.png,image/png,Berlin 2017
Musik Lovers,https://codingdavinci.de/de/projekte/musik-lovers,musik_lovers.png,,,/sites/default/files/2019-07/musik_lovers.png,image/png,Berlin 2017
Skelex,https://codingdavinci.de/de/projekte/skelex,skelex.png,,,/sites/default/files/2019-07/skelex.png,image/png,Berlin 2017
Visualisierung jüdischen Lebens,https://codingdavinci.de/de/projekte/visualisierung-juedischen-lebens,visjuedleb.png,,,/sites/default/files/2019-07/visjuedleb.png,image/png,Berlin 2017
Äpfel und Birnen,https://codingdavinci.de/de/projekte/aepfel-und-birnen,aepfel_und_birnen.jpg,,,/sites/default/files/2019-07/aepfel_und_birnen.jpg,image/jpeg,Ost 2018
Altlas,https://codingdavinci.de/de/projekte/altlas,altlas.jpg,CC BY-SA 4.0,Lisa Ihde,/sites/default/files/2019-07/altlas.jpg,image/jpeg,Ost 2018
AnimalBeatbox,https://codingdavinci.de/de/projekte/animalbeatbox,animal_beatbox.jpg,,,/sites/default/files/2019-07/animal_beatbox.jpg,image/jpeg,Ost 2018
Birdory,https://codingdavinci.de/de/projekte/birdory,birdory.jpg,,,/sites/default/files/2019-07/birdory.jpg,image/jpeg,Ost 2018
Börsendaten,https://codingdavinci.de/de/projekte/boersendaten,boersendaten.jpg,,,/sites/default/files/2019-07/boersendaten.jpg,image/jpeg,Ost 2018
Damals,https://codingdavinci.de/de/projekte/damals,damals.jpg,,,/sites/default/files/2019-07/damals.jpg,image/jpeg,Ost 2018
JibJib,https://codingdavinci.de/de/projekte/jibjib,jibjib.jpg,,,/sites/default/files/2019-07/jibjib.jpg,image/jpeg,Ost 2018
ChronoAtlas,https://codingdavinci.de/de/projekte/chronoatlas,leibniz_maps.jpg,,,/sites/default/files/2019-07/leibniz_maps.jpg,image/jpeg,Ost 2018
MDMA – Make Deep Art Accessible,https://codingdavinci.de/de/projekte/mdma-make-deep-art-accessible,mdma.jpg,,,/sites/default/files/2019-07/mdma.jpg,image/jpeg,Ost 2018
Die virtuelle Mittagsfrau,https://codingdavinci.de/de/projekte/die-virtuelle-mittagsfrau,virtuelle_mittagsfrau.jpg,,,/sites/default/files/2019-07/virtuelle_mittagsfrau.jpg,image/jpeg,Ost 2018
nachgeradelt.de – Coden wie die Stahlroßreiter,https://codingdavinci.de/de/projekte/nachgeradeltde-coden-wie-die-stahlrossreiter,nachgeradelt.jpg,,,/sites/default/files/2019-07/nachgeradelt.jpg,image/jpeg,Ost 2018
Schreib doch mal wieder!,https://codingdavinci.de/de/projekte/schreib-doch-mal-wieder,schreibdochmalwieder.jpg,,,/sites/default/files/2019-07/schreibdochmalwieder.jpg,image/jpeg,Ost 2018
SnailSnap,https://codingdavinci.de/de/projekte/snailsnap,snailsnap.jpg,CC BY 4.0,Lisa Ihde,/sites/default/files/2019-07/snailsnap.jpg,image/jpeg,Ost 2018
Talhoffer Quiz,https://codingdavinci.de/de/projekte/talhoffer-quiz,talhoffer_quiz.jpg,,,/sites/default/files/2019-07/talhoffer_quiz.jpg,image/jpeg,Ost 2018
ANTLITZ.NINJA,https://codingdavinci.de/de/projekte/antlitzninja,anlitz_ninja.jpg,,,/sites/default/files/2019-07/anlitz_ninja.jpg,image/jpeg,Rhein-Main 2018
Artific,https://codingdavinci.de/de/projekte/artific,artific.jpg,,,/sites/default/files/2019-07/artific.jpg,image/jpeg,Rhein-Main 2018
Battlesim,https://codingdavinci.de/de/projekte/battlesim,battle.png,CC BY-SA 4.0,Lukas Wagner,/sites/default/files/2019-07/battle.png,image/png,Rhein-Main 2018
Brentano2go@VR,https://codingdavinci.de/de/projekte/brentano2govr,brentano2go.jpg,,,/sites/default/files/2019-07/brentano2go.jpg,image/jpeg,Rhein-Main 2018
Das bewegte Kleid,https://codingdavinci.de/de/projekte/das-bewegte-kleid,bewegtes_kleid.png,,,/sites/default/files/2019-07/bewegtes_kleid.png,image/png,Rhein-Main 2018
DeliveryDetector,https://codingdavinci.de/de/projekte/deliverydetector,delivery_detector.jpg,CC BY-SA 4.0,Daniel-Amadeus Johannes Glöckner,/sites/default/files/2019-07/delivery_detector.jpg,image/jpeg,Rhein-Main 2018
Friedrich der Dritte spricht,https://codingdavinci.de/de/projekte/friedrich-der-dritte-spricht,friedrich_III.jpg,,,/sites/default/files/2019-07/friedrich_III.jpg,image/jpeg,Rhein-Main 2018
Gensfleisch ist kein Gemüse,https://codingdavinci.de/de/projekte/gensfleisch-ist-kein-gemuese,gutenberg_in_mainz.png,,,/sites/default/files/2019-07/gutenberg_in_mainz.png,image/png,Rhein-Main 2018
Kleid-er-leben,https://codingdavinci.de/de/projekte/kleid-er-leben,kleiderleben.png,,,/sites/default/files/2019-07/kleiderleben.png,image/png,Rhein-Main 2018
Kriegskartenkarte,https://codingdavinci.de/de/projekte/kriegskartenkarte,kriegskartenkarte.png,,,/sites/default/files/2019-07/kriegskartenkarte.png,image/png,Rhein-Main 2018
MonsterMelodies,https://codingdavinci.de/de/projekte/monstermelodies,monstermelodies.png,,,/sites/default/files/2019-07/monstermelodies.png,image/png,Rhein-Main 2018
Mylius Spuren,https://codingdavinci.de/de/projekte/mylius-spuren,mylius_spuren.png,,,/sites/default/files/2019-07/mylius_spuren.png,image/png,Rhein-Main 2018
RingRing,https://codingdavinci.de/de/projekte/ringring,ring_ring.png,,,/sites/default/files/2019-07/ring_ring.png,image/png,Rhein-Main 2018
"Spieglein, Spieglein",https://codingdavinci.de/de/projekte/spieglein-spieglein,spieglein.png,CC BY-SA 4.0,Fabian Moritz Schneider,/sites/default/files/2019-07/spieglein.png,image/png,Rhein-Main 2018
TourWizArt,https://codingdavinci.de/de/projekte/tourwizart,tour_wiz_art.png,,,/sites/default/files/2019-07/tour_wiz_art.png,image/png,Rhein-Main 2018
past forward,https://codingdavinci.de/de/projekte/past-forward,pastforward.png,,,/sites/default/files/2019-07/pastforward.png,image/png,Rhein-Main 2018
Cards and Dragons,https://codingdavinci.de/de/projekte/cards-and-dragons,cards_and_dragons.JPG,,,/sites/default/files/2019-07/cards_and_dragons.JPG,image/jpeg,Süd 2019
COVER.BOUTIQUE,https://codingdavinci.de/de/projekte/coverboutique,cover_boutique.png,,,/sites/default/files/2019-07/cover_boutique.png,image/png,Süd 2019
Craftspeople,https://codingdavinci.de/de/projekte/craftspeople,craftspeople.JPG,,,/sites/default/files/2019-07/craftspeople.JPG,image/jpeg,Süd 2019
Evacuate Stuttgart,https://codingdavinci.de/de/projekte/evacuate-stuttgart,evacuate_stuttgart.jpg,,,/sites/default/files/2019-07/evacuate_stuttgart.jpg,image/jpeg,Süd 2019
Femtett Adventure Game,https://codingdavinci.de/de/projekte/femtett-adventure-game,femtett.jpg,,,/sites/default/files/2019-07/femtett.jpg,image/jpeg,Süd 2019
